Episode 1/20, Total Reward: 2502.18, Loss: 0.0743
Episode 2/20, Total Reward: 2495.46, Loss: 0.0662
Episode 3/20, Total Reward: 2527.28, Loss: 0.0480
Episode 4/20, Total Reward: 2479.05, Loss: 0.0504
Episode 5/20, Total Reward: 2509.68, Loss: 0.0102
Episode 6/20, Total Reward: 2487.26, Loss: 0.0453
Episode 7/20, Total Reward: 2472.05, Loss: 0.0119
Episode 8/20, Total Reward: 2507.30, Loss: 0.0299
Episode 9/20, Total Reward: 2546.57, Loss: 0.0294
Episode 10/20, Total Reward: 2477.16, Loss: 0.0310
Episode 11/20, Total Reward: 2525.14, Loss: 0.0223
Episode 12/20, Total Reward: 2481.73, Loss: 0.0408
Episode 13/20, Total Reward: 2499.11, Loss: 0.0235
Episode 14/20, Total Reward: 2496.94, Loss: 0.0261
Episode 15/20, Total Reward: 2487.35, Loss: 0.0062
Episode 16/20, Total Reward: 2522.00, Loss: 0.0414
Episode 17/20, Total Reward: 2467.65, Loss: 0.0158
Episode 18/20, Total Reward: 2477.27, Loss: 0.0424
Episode 19/20, Total Reward: 2523.13, Loss: 0.0060
Episode 20/20, Total Reward: 2519.69, Loss: 0.0305
